supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000010001,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1138.319
imsi-208930000010002,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3006.029
imsi-208930000010003,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1580.614
imsi-208930000010004,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2501.651
imsi-208930000010005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1889.696
imsi-208930000010006,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,894.852
imsi-208930000010007,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3503.978
imsi-208930000010008,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3749.023
imsi-208930000010009,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2999.320
imsi-208930000010010,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4062.140
imsi-208930000010011,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3107.163
imsi-208930000010012,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3363.090
imsi-208930000010013,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5000.560
imsi-208930000010014,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4360.055
imsi-208930000010015,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4444.749
imsi-208930000010016,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1909.248
imsi-208930000010017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4443.615
imsi-208930000010018,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2635.626
imsi-208930000010019,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4580.039
imsi-208930000010020,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3901.035
imsi-208930000010021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2302.427
imsi-208930000010022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2456.740
imsi-208930000010023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2727.402
imsi-208930000010024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2980.304
imsi-208930000010025,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3238.671
imsi-208930000010026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4271.965
