supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000009001,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1286.287
imsi-208930000009002,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,913.225
imsi-208930000009003,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,952.249
imsi-208930000009004,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,886.345
imsi-208930000009005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,988.795
imsi-208930000009006,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,950.220
imsi-208930000009007,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3097.449
imsi-208930000009008,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1915.170
imsi-208930000009009,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1426.980
imsi-208930000009010,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2634.754
imsi-208930000009011,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1401.460
imsi-208930000009012,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2338.061
imsi-208930000009013,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2900.527
imsi-208930000009014,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4424.656
imsi-208930000009015,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2968.009
imsi-208930000009016,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4338.733
imsi-208930000009017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3148.783
imsi-208930000009018,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2905.115
imsi-208930000009019,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4512.567
imsi-208930000009020,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3770.122
imsi-208930000009021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4004.971
imsi-208930000009022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3135.465
imsi-208930000009023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2497.412
