supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000018001,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1391.296
imsi-208930000018002,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2092.384
imsi-208930000018003,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3337.476
imsi-208930000018004,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4904.288
imsi-208930000018005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2713.157
imsi-208930000018006,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2130.031
imsi-208930000018007,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4637.658
imsi-208930000018008,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6048.637
imsi-208930000018009,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4251.574
imsi-208930000018010,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3256.650
imsi-208930000018011,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3622.964
imsi-208930000018012,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2529.145
imsi-208930000018013,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3818.576
imsi-208930000018014,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5465.083
imsi-208930000018015,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3418.079
imsi-208930000018016,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3632.634
imsi-208930000018017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2649.394
imsi-208930000018018,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5584.713
imsi-208930000018019,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3975.038
imsi-208930000018020,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3452.839
imsi-208930000018021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3905.744
imsi-208930000018022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3557.270
imsi-208930000018023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4502.234
imsi-208930000018024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3176.004
imsi-208930000018025,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4939.173
imsi-208930000018026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2403.826
imsi-208930000018027,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4089.479
imsi-208930000018028,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2379.054
imsi-208930000018029,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5457.316
imsi-208930000018030,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4395.861
imsi-208930000018031,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5777.258
imsi-208930000018032,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4810.165
imsi-208930000018033,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4881.900
imsi-208930000018034,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3991.770
