supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000008001,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,828.506
imsi-208930000008002,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1914.848
imsi-208930000008003,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4713.698
imsi-208930000008004,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3277.659
imsi-208930000008005,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4714.821
imsi-208930000008006,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,5010.210
imsi-208930000008007,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2535.850
imsi-208930000008008,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3206.844
imsi-208930000008009,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1515.195
imsi-208930000008010,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2902.739
imsi-208930000008011,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3378.579
imsi-208930000008012,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3157.398
imsi-208930000008013,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1955.408
imsi-208930000008014,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4154.275
imsi-208930000008015,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4526.160
imsi-208930000008016,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3668.217
imsi-208930000008017,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3935.890
imsi-208930000008018,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3214.076
imsi-208930000008019,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2774.007
imsi-208930000008020,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3561.158
imsi-208930000008021,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3449.906
imsi-208930000008022,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3990.459
imsi-208930000008023,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4411.633
imsi-208930000008024,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3494.186
imsi-208930000008025,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3025.952
imsi-208930000008026,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3270.145
imsi-208930000008027,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4468.466
imsi-208930000008028,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3057.188
imsi-208930000008029,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3260.589
imsi-208930000008030,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3612.374
imsi-208930000008031,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,5002.185
imsi-208930000008032,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3733.266
imsi-208930000008033,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4274.256
imsi-208930000008034,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4113.630
imsi-208930000008035,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4567.412
imsi-208930000008036,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4082.379
imsi-208930000008037,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3010.202
imsi-208930000008038,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4859.692
imsi-208930000008039,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3917.952
imsi-208930000008040,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3720.105
imsi-208930000008041,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3966.863
imsi-208930000008042,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4313.312
imsi-208930000008043,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3582.604
imsi-208930000008044,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4030.702
imsi-208930000008045,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4858.352
imsi-208930000008046,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3597.370
imsi-208930000008047,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3768.503
imsi-208930000008048,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3520.870
imsi-208930000008049,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4211.586
imsi-208930000008050,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3533.169
imsi-208930000008051,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2899.217
imsi-208930000008052,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3726.125
imsi-208930000008053,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4123.319
imsi-208930000008054,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2452.964
imsi-208930000008055,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4195.583
imsi-208930000008056,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3984.162
imsi-208930000008057,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2202.703
imsi-208930000008058,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4101.239
imsi-208930000008059,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3739.144
imsi-208930000008060,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2498.871
imsi-208930000008061,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,4178.019
imsi-208930000008062,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3380.224
imsi-208930000008063,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1618.007
imsi-208930000008064,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3084.030
imsi-208930000008065,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3259.340
imsi-208930000008066,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3661.094
imsi-208930000008067,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3714.483
imsi-208930000008068,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2678.438
imsi-208930000008069,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1486.855
imsi-208930000008070,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2223.161
imsi-208930000008071,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1985.819
imsi-208930000008072,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1404.773
imsi-208930000008073,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,3087.361
imsi-208930000008074,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1874.539
imsi-208930000008075,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,1298.626
imsi-208930000008076,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2978.938
imsi-208930000008077,free5gc-free5gc-amf-amf-6b5bb4b899-r2mwm,1,1,1,1,0,2180.241
