DA-SACO Parallel Controller started in ACTIVE mode.
Interval: 5 seconds
[2026-08-16T18:44:46+08:00] Starting parallel cycle
[2026-08-16T18:44:46+08:00] Parallel localization failed
[2026-08-16T18:44:53+08:00] Starting parallel cycle
[2026-08-16T18:44:53+08:00] Parallel cycle completed
[2026-08-16T18:45:01+08:00] Starting parallel cycle
[2026-08-16T18:45:01+08:00] Parallel cycle completed
[2026-08-16T18:45:09+08:00] Starting parallel cycle
[2026-08-16T18:45:09+08:00] Parallel cycle completed
[2026-08-16T18:45:16+08:00] Starting parallel cycle
[2026-08-16T18:45:16+08:00] Parallel cycle completed
[2026-08-16T18:45:24+08:00] Starting parallel cycle
[2026-08-16T18:45:24+08:00] Parallel cycle completed
[2026-08-16T18:46:31+08:00] Starting parallel cycle
[2026-08-16T18:46:31+08:00] Parallel cycle completed
[2026-08-16T18:46:39+08:00] Starting parallel cycle
[2026-08-16T18:46:39+08:00] Parallel cycle completed
[2026-08-16T18:46:50+08:00] Starting parallel cycle
[2026-08-16T18:46:50+08:00] Parallel cycle completed
[2026-08-16T18:47:01+08:00] Starting parallel cycle
[2026-08-16T18:47:01+08:00] Parallel cycle completed
[2026-08-16T18:47:12+08:00] Starting parallel cycle
[2026-08-16T18:47:12+08:00] Parallel cycle completed
[2026-08-16T18:47:23+08:00] Starting parallel cycle
[2026-08-16T18:47:23+08:00] Parallel cycle completed
[2026-08-16T18:47:34+08:00] Starting parallel cycle
[2026-08-16T18:47:34+08:00] Parallel cycle completed
[2026-08-16T18:47:46+08:00] Starting parallel cycle
[2026-08-16T18:47:46+08:00] Parallel cycle completed
[2026-08-16T18:47:57+08:00] Starting parallel cycle
[2026-08-16T18:47:57+08:00] Parallel cycle completed
[2026-08-16T18:48:08+08:00] Starting parallel cycle
[2026-08-16T18:48:08+08:00] Parallel cycle completed
[2026-08-16T18:48:19+08:00] Starting parallel cycle
[2026-08-16T18:48:19+08:00] Parallel cycle completed
[2026-08-16T18:48:30+08:00] Starting parallel cycle
[2026-08-16T18:48:30+08:00] Parallel cycle completed
[2026-08-16T18:48:41+08:00] Starting parallel cycle
[2026-08-16T18:48:41+08:00] Parallel cycle completed
[2026-08-16T18:48:52+08:00] Starting parallel cycle
[2026-08-16T18:48:52+08:00] Parallel cycle completed
