DA-SACO Parallel Controller started in ACTIVE mode.
Interval: 5 seconds
[2026-08-16T20:26:31+08:00] Starting parallel cycle
[2026-08-16T20:26:31+08:00] Parallel localization failed
[2026-08-16T20:26:38+08:00] Starting parallel cycle
[2026-08-16T20:26:38+08:00] Parallel cycle completed
[2026-08-16T20:26:46+08:00] Starting parallel cycle
[2026-08-16T20:26:46+08:00] Parallel cycle completed
[2026-08-16T20:26:54+08:00] Starting parallel cycle
[2026-08-16T20:26:54+08:00] Parallel cycle completed
[2026-08-16T20:27:01+08:00] Starting parallel cycle
[2026-08-16T20:27:01+08:00] Parallel cycle completed
[2026-08-16T20:27:58+08:00] Starting parallel cycle
[2026-08-16T20:27:58+08:00] Parallel cycle completed
[2026-08-16T20:28:06+08:00] Starting parallel cycle
[2026-08-16T20:28:06+08:00] Parallel cycle completed
[2026-08-16T20:28:17+08:00] Starting parallel cycle
[2026-08-16T20:28:17+08:00] Parallel cycle completed
[2026-08-16T20:28:31+08:00] Starting parallel cycle
[2026-08-16T20:28:31+08:00] Parallel cycle completed
[2026-08-16T20:28:42+08:00] Starting parallel cycle
[2026-08-16T20:28:42+08:00] Parallel cycle completed
[2026-08-16T20:28:53+08:00] Starting parallel cycle
[2026-08-16T20:28:53+08:00] Parallel cycle completed
[2026-08-16T20:29:04+08:00] Starting parallel cycle
[2026-08-16T20:29:04+08:00] Parallel cycle completed
[2026-08-16T20:29:15+08:00] Starting parallel cycle
[2026-08-16T20:29:15+08:00] Parallel cycle completed
[2026-08-16T20:29:26+08:00] Starting parallel cycle
[2026-08-16T20:29:26+08:00] Parallel cycle completed
[2026-08-16T20:29:37+08:00] Starting parallel cycle
[2026-08-16T20:29:37+08:00] Parallel cycle completed
[2026-08-16T20:29:48+08:00] Starting parallel cycle
[2026-08-16T20:29:48+08:00] Parallel cycle completed
[2026-08-16T20:29:59+08:00] Starting parallel cycle
[2026-08-16T20:29:59+08:00] Parallel cycle completed
[2026-08-16T20:30:10+08:00] Starting parallel cycle
[2026-08-16T20:30:10+08:00] Parallel cycle completed
[2026-08-16T20:30:22+08:00] Starting parallel cycle
[2026-08-16T20:30:22+08:00] Parallel cycle completed
[2026-08-16T20:30:33+08:00] Starting parallel cycle
