supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000012001,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1282.904
imsi-208930000012002,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6731.957
imsi-208930000012003,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6374.270
imsi-208930000012004,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,761.969
imsi-208930000012005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,971.915
imsi-208930000012006,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,987.025
imsi-208930000012007,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4245.264
imsi-208930000012008,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4415.329
imsi-208930000012009,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4520.493
imsi-208930000012010,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6574.107
imsi-208930000012011,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5183.237
imsi-208930000012012,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6534.410
imsi-208930000012013,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,12040.353
imsi-208930000012014,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3323.686
imsi-208930000012015,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3735.071
imsi-208930000012016,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5362.849
imsi-208930000012017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6316.432
imsi-208930000012018,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4376.614
imsi-208930000012019,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5972.328
imsi-208930000012020,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2802.252
imsi-208930000012021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4668.738
imsi-208930000012022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4470.026
imsi-208930000012023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3970.759
imsi-208930000012024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3577.404
imsi-208930000012025,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2984.410
imsi-208930000012026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4521.651
imsi-208930000012027,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5698.904
imsi-208930000012028,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4133.050
imsi-208930000012029,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5028.103
imsi-208930000012030,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4413.289
imsi-208930000012032,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3687.868
imsi-208930000012033,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4549.880
imsi-208930000012034,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5621.605
imsi-208930000012035,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2570.735
imsi-208930000012036,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3144.892
imsi-208930000012037,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4102.922
imsi-208930000012038,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2918.954
imsi-208930000012039,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4787.263
imsi-208930000012040,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4839.544
imsi-208930000012041,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4281.903
imsi-208930000012042,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,970.271
imsi-208930000012043,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4211.129
imsi-208930000012044,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5587.635
imsi-208930000012045,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5365.716
imsi-208930000012046,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5070.278
imsi-208930000012047,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3877.489
imsi-208930000012048,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,987.787
imsi-208930000012049,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3150.897
imsi-208930000012050,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5390.381
imsi-208930000012051,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3030.348
imsi-208930000012052,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3823.875
imsi-208930000012053,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3768.859
imsi-208930000012054,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1025.889
imsi-208930000012055,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3526.550
imsi-208930000012056,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3722.495
imsi-208930000012057,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2319.216
imsi-208930000012058,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4575.717
imsi-208930000012059,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3182.617
imsi-208930000012060,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,650.832
imsi-208930000012061,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2683.457
imsi-208930000012062,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4063.346
imsi-208930000012063,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2206.247
imsi-208930000012064,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4602.030
imsi-208930000012065,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3209.649
imsi-208930000012066,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,548.008
imsi-208930000012067,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2962.618
imsi-208930000012068,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3321.830
imsi-208930000012069,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1302.892
imsi-208930000012070,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2295.423
imsi-208930000012071,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,0,0,0,0,
imsi-208930000012072,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,111.055
imsi-208930000012073,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2121.437
imsi-208930000012074,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2462.770
imsi-208930000012075,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,669.686
imsi-208930000012076,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1861.696
imsi-208930000012077,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1493.190
imsi-208930000012078,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,522.486
imsi-208930000012079,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2596.412
imsi-208930000012080,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3045.384
imsi-208930000012081,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,207.236
imsi-208930000012082,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2500.592
imsi-208930000012083,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2001.397
imsi-208930000012084,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,397.401
imsi-208930000012085,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2130.221
imsi-208930000012086,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1897.957
imsi-208930000012087,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,923.814
imsi-208930000012088,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1594.546
imsi-208930000012089,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1918.384
imsi-208930000012090,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,592.050
imsi-208930000012091,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1240.625
imsi-208930000012092,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1522.624
imsi-208930000012093,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,608.451
imsi-208930000012094,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1187.995
imsi-208930000012095,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1503.957
imsi-208930000012096,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,242.346
imsi-208930000012097,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1177.723
imsi-208930000012098,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,819.552
imsi-208930000012099,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,305.490
imsi-208930000012100,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1135.259
