supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000005059,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1639.730
imsi-208930000005060,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,2599.810
imsi-208930000005061,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1310.568
imsi-208930000005062,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,2801.603
imsi-208930000005063,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,2009.846
imsi-208930000005064,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1948.474
imsi-208930000005065,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1854.014
imsi-208930000005066,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,2501.268
imsi-208930000005067,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,2614.218
imsi-208930000005068,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,2472.640
imsi-208930000005069,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,931.497
imsi-208930000005070,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1070.690
imsi-208930000005071,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1434.645
imsi-208930000005072,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,3097.164
imsi-208930000005073,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1794.748
imsi-208930000005074,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1852.682
imsi-208930000005075,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,589.366
imsi-208930000005076,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1128.634
imsi-208930000005077,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1467.021
imsi-208930000005078,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1606.673
imsi-208930000005079,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,739.961
imsi-208930000005080,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1190.452
imsi-208930000005081,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1513.132
imsi-208930000005082,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1666.117
imsi-208930000005083,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,2395.375
imsi-208930000005084,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,1366.035
imsi-208930000005085,free5gc-free5gc-amf-amf-b475fd8cb-6rn4c,1,1,1,1,0,469.796
