supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000011001,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1331.946
imsi-208930000011002,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2653.682
imsi-208930000011003,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2290.846
imsi-208930000011004,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1192.760
imsi-208930000011005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4489.711
imsi-208930000011006,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6016.471
imsi-208930000011007,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2403.960
imsi-208930000011008,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5845.302
imsi-208930000011009,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4259.860
imsi-208930000011010,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4120.534
imsi-208930000011011,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4438.652
imsi-208930000011012,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3601.318
imsi-208930000011013,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3641.547
imsi-208930000011014,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4419.627
imsi-208930000011015,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3837.855
imsi-208930000011016,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4229.882
imsi-208930000011017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4407.201
imsi-208930000011018,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6004.464
imsi-208930000011019,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5519.381
imsi-208930000011020,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2945.484
imsi-208930000011021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4328.342
imsi-208930000011022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4822.700
imsi-208930000011023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4534.940
imsi-208930000011024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5134.984
imsi-208930000011025,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3597.780
imsi-208930000011026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3886.081
imsi-208930000011027,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3420.245
imsi-208930000011029,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3361.959
imsi-208930000011030,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4975.858
imsi-208930000011031,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5304.819
imsi-208930000011032,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3759.970
imsi-208930000011033,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2901.439
imsi-208930000011034,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5546.165
imsi-208930000011035,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2907.894
imsi-208930000011036,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6011.884
imsi-208930000011037,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3871.512
imsi-208930000011038,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3250.124
imsi-208930000011039,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2608.000
imsi-208930000011040,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4847.487
imsi-208930000011041,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4799.007
