supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000015001,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2974.310
imsi-208930000015002,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1327.886
imsi-208930000015003,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1083.715
imsi-208930000015004,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1158.039
imsi-208930000015005,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,936.811
imsi-208930000015006,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1958.784
imsi-208930000015007,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1075.288
imsi-208930000015008,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,735.924
imsi-208930000015009,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3594.240
imsi-208930000015010,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1475.503
imsi-208930000015011,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,4302.910
imsi-208930000015012,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1904.084
imsi-208930000015013,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1652.406
imsi-208930000015014,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1279.187
imsi-208930000015015,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1705.930
imsi-208930000015016,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1384.522
imsi-208930000015017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2168.733
imsi-208930000015018,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,878.898
imsi-208930000015019,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,4190.578
imsi-208930000015020,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2317.152
imsi-208930000015021,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1096.312
imsi-208930000015022,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2333.639
imsi-208930000015023,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1560.912
imsi-208930000015024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2550.039
imsi-208930000015025,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2103.560
imsi-208930000015026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1182.454
imsi-208930000015027,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,865.449
imsi-208930000015028,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1379.154
imsi-208930000015029,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2027.803
imsi-208930000015030,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1070.378
imsi-208930000015031,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2920.987
imsi-208930000015032,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,677.087
imsi-208930000015033,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,524.632
imsi-208930000015034,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1030.583
imsi-208930000015035,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3052.338
