supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000016001,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2923.424
imsi-208930000016002,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1191.759
imsi-208930000016003,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1607.387
imsi-208930000016004,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1202.562
imsi-208930000016005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1622.622
imsi-208930000016006,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5003.025
imsi-208930000016007,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,7886.892
imsi-208930000016008,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,11703.298
imsi-208930000016009,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3291.887
imsi-208930000016010,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3935.693
imsi-208930000016011,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2915.356
imsi-208930000016012,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3706.652
imsi-208930000016013,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2111.440
imsi-208930000016014,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2799.405
imsi-208930000016015,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,7661.235
imsi-208930000016016,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6582.532
imsi-208930000016017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5668.904
imsi-208930000016018,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3098.730
imsi-208930000016019,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5092.361
imsi-208930000016020,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2627.514
imsi-208930000016021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3795.919
imsi-208930000016022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,7875.345
imsi-208930000016023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4348.393
imsi-208930000016024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4704.634
imsi-208930000016025,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4030.140
imsi-208930000016026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1424.110
imsi-208930000016027,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5096.969
imsi-208930000016028,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2439.281
imsi-208930000016029,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,7573.078
imsi-208930000016030,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5205.449
imsi-208930000016031,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3264.892
imsi-208930000016032,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2445.185
imsi-208930000016033,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3759.923
imsi-208930000016034,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1170.775
imsi-208930000016035,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4691.728
imsi-208930000016036,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3095.917
imsi-208930000016037,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3885.556
imsi-208930000016038,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3980.329
imsi-208930000016039,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,7423.737
imsi-208930000016040,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2873.838
imsi-208930000016041,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1381.609
imsi-208930000016042,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4748.148
imsi-208930000016043,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3286.965
imsi-208930000016044,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,7563.653
imsi-208930000016045,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2852.388
imsi-208930000016046,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3929.556
imsi-208930000016047,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1849.961
imsi-208930000016048,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4960.633
imsi-208930000016049,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2547.012
imsi-208930000016050,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2594.434
imsi-208930000016051,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3189.689
imsi-208930000016052,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4119.362
imsi-208930000016053,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1087.202
imsi-208930000016054,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,888.168
imsi-208930000016055,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4250.030
imsi-208930000016056,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3893.050
imsi-208930000016057,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2850.365
imsi-208930000016058,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4569.405
imsi-208930000016059,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1213.673
imsi-208930000016060,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1181.868
imsi-208930000016061,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4093.202
imsi-208930000016062,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6936.140
imsi-208930000016063,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1279.866
imsi-208930000016064,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2329.578
imsi-208930000016065,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,796.667
imsi-208930000016066,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2991.074
imsi-208930000016067,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2754.881
imsi-208930000016068,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2370.710
imsi-208930000016069,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2715.920
imsi-208930000016070,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6268.076
imsi-208930000016071,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,931.880
imsi-208930000016072,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,507.831
imsi-208930000016073,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2885.700
imsi-208930000016074,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1632.498
imsi-208930000016075,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3691.143
imsi-208930000016076,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2159.266
imsi-208930000016077,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,400.601
imsi-208930000016078,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,303.094
imsi-208930000016079,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2583.976
imsi-208930000016080,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1219.587
imsi-208930000016081,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1995.387
imsi-208930000016082,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,616.202
imsi-208930000016083,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,601.274
imsi-208930000016084,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1308.595
imsi-208930000016085,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,563.742
imsi-208930000016086,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1242.575
imsi-208930000016087,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5555.298
imsi-208930000016088,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3278.270
imsi-208930000016089,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,670.360
imsi-208930000016090,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,654.744
imsi-208930000016092,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2187.202
imsi-208930000016093,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2241.768
imsi-208930000016094,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1789.333
imsi-208930000016095,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,505.950
imsi-208930000016096,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,896.337
imsi-208930000016097,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1125.718
imsi-208930000016098,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1624.653
imsi-208930000016099,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,527.127
imsi-208930000016100,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5412.516
