supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000017001,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2178.398
imsi-208930000017002,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,939.215
imsi-208930000017003,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3814.922
imsi-208930000017004,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3628.397
imsi-208930000017005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1362.994
imsi-208930000017006,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,829.416
imsi-208930000017007,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2726.666
imsi-208930000017008,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3440.617
imsi-208930000017009,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2994.388
imsi-208930000017010,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3748.240
imsi-208930000017011,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1993.164
imsi-208930000017012,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3311.180
imsi-208930000017013,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1217.942
imsi-208930000017014,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3716.801
imsi-208930000017015,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3162.995
imsi-208930000017016,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3245.409
imsi-208930000017017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3782.146
imsi-208930000017018,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2749.643
imsi-208930000017019,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5627.757
imsi-208930000017020,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3567.649
imsi-208930000017021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2945.771
imsi-208930000017022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2576.902
imsi-208930000017023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2741.910
imsi-208930000017024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3991.638
imsi-208930000017025,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3466.661
imsi-208930000017026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3406.879
imsi-208930000017027,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3539.642
imsi-208930000017028,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5062.492
imsi-208930000017029,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5020.492
imsi-208930000017030,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5204.662
imsi-208930000017031,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4980.667
imsi-208930000017032,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3658.684
imsi-208930000017033,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2814.924
imsi-208930000017034,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4996.187
imsi-208930000017035,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3768.350
imsi-208930000017036,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4474.427
imsi-208930000017037,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3430.313
imsi-208930000017038,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3205.699
imsi-208930000017039,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3329.605
imsi-208930000017040,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3692.324
imsi-208930000017041,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3305.157
imsi-208930000017042,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4390.154
imsi-208930000017043,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4235.185
imsi-208930000017044,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5009.595
imsi-208930000017045,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3543.898
imsi-208930000017046,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3116.485
imsi-208930000017047,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2517.130
imsi-208930000017048,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3543.193
imsi-208930000017049,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4696.999
imsi-208930000017050,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2933.688
imsi-208930000017051,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4801.838
imsi-208930000017052,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3589.941
imsi-208930000017053,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2329.061
imsi-208930000017054,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2384.957
imsi-208930000017055,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3848.225
imsi-208930000017056,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3548.228
imsi-208930000017057,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4291.308
imsi-208930000017058,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3111.023
imsi-208930000017059,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3297.682
imsi-208930000017060,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2596.700
imsi-208930000017061,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2508.025
imsi-208930000017062,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2945.366
imsi-208930000017063,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3679.035
imsi-208930000017064,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2604.974
imsi-208930000017065,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4081.408
imsi-208930000017066,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3178.033
imsi-208930000017067,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2043.644
imsi-208930000017068,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3062.896
imsi-208930000017069,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2692.416
imsi-208930000017070,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1009.627
imsi-208930000017071,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3351.016
imsi-208930000017072,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1400.566
imsi-208930000017073,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2284.320
imsi-208930000017074,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3009.688
imsi-208930000017075,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1515.198
imsi-208930000017076,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1504.870
imsi-208930000017077,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1692.792
imsi-208930000017078,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2524.017
imsi-208930000017079,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1689.611
imsi-208930000017080,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3392.983
