DA-SACO Parallel Controller started in ACTIVE mode.
Interval: 5 seconds
[2026-08-16T20:35:06+08:00] Starting parallel cycle
[2026-08-16T20:35:06+08:00] Parallel localization failed
[2026-08-16T20:35:13+08:00] Starting parallel cycle
[2026-08-16T20:35:13+08:00] Parallel cycle completed
[2026-08-16T20:35:21+08:00] Starting parallel cycle
[2026-08-16T20:35:21+08:00] Parallel cycle completed
[2026-08-16T20:35:29+08:00] Starting parallel cycle
[2026-08-16T20:35:29+08:00] Parallel cycle completed
[2026-08-16T20:36:24+08:00] Starting parallel cycle
[2026-08-16T20:36:24+08:00] Parallel cycle completed
[2026-08-16T20:36:32+08:00] Starting parallel cycle
[2026-08-16T20:36:32+08:00] Parallel cycle completed
[2026-08-16T20:36:43+08:00] Starting parallel cycle
[2026-08-16T20:36:43+08:00] Parallel cycle completed
[2026-08-16T20:36:54+08:00] Starting parallel cycle
[2026-08-16T20:36:54+08:00] Parallel cycle completed
[2026-08-16T20:37:05+08:00] Starting parallel cycle
[2026-08-16T20:37:05+08:00] Parallel cycle completed
[2026-08-16T20:37:17+08:00] Starting parallel cycle
[2026-08-16T20:37:17+08:00] Parallel cycle completed
[2026-08-16T20:37:28+08:00] Starting parallel cycle
[2026-08-16T20:37:28+08:00] Parallel cycle completed
[2026-08-16T20:37:39+08:00] Starting parallel cycle
[2026-08-16T20:37:39+08:00] Parallel cycle completed
[2026-08-16T20:37:50+08:00] Starting parallel cycle
[2026-08-16T20:37:50+08:00] Parallel cycle completed
[2026-08-16T20:38:01+08:00] Starting parallel cycle
[2026-08-16T20:38:01+08:00] Parallel cycle completed
[2026-08-16T20:38:12+08:00] Starting parallel cycle
[2026-08-16T20:38:12+08:00] Parallel cycle completed
[2026-08-16T20:38:23+08:00] Starting parallel cycle
[2026-08-16T20:38:23+08:00] Parallel cycle completed
[2026-08-16T20:38:34+08:00] Starting parallel cycle
[2026-08-16T20:38:34+08:00] Parallel cycle completed
[2026-08-16T20:38:45+08:00] Starting parallel cycle
[2026-08-16T20:38:45+08:00] Parallel cycle completed
[2026-08-16T20:38:56+08:00] Starting parallel cycle
[2026-08-16T20:38:56+08:00] Parallel cycle completed
[2026-08-16T20:39:08+08:00] Starting parallel cycle
