supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000014001,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3058.884
imsi-208930000014002,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1508.041
imsi-208930000014003,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3067.665
imsi-208930000014004,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4461.493
imsi-208930000014005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1715.120
imsi-208930000014006,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1405.583
imsi-208930000014007,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3382.281
imsi-208930000014008,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,5447.208
imsi-208930000014009,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,3450.171
imsi-208930000014010,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,5151.389
imsi-208930000014011,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4177.297
imsi-208930000014012,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4214.095
imsi-208930000014013,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4358.126
imsi-208930000014014,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4341.795
imsi-208930000014015,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,8935.508
imsi-208930000014016,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2605.580
imsi-208930000014017,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2582.917
imsi-208930000014018,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3070.474
imsi-208930000014019,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4442.220
imsi-208930000014020,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2806.159
imsi-208930000014021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,7144.273
imsi-208930000014022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2691.568
imsi-208930000014023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4560.050
imsi-208930000014024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2132.962
imsi-208930000014025,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5496.908
imsi-208930000014026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1677.278
imsi-208930000014027,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5747.131
imsi-208930000014028,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1815.517
imsi-208930000014029,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,806.277
imsi-208930000014030,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,5394.130
imsi-208930000014031,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1644.384
imsi-208930000014032,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,987.442
imsi-208930000014033,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,940.719
imsi-208930000014034,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,793.428
imsi-208930000014035,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1202.698
imsi-208930000014036,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,515.699
imsi-208930000014037,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,929.033
imsi-208930000014038,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,5441.924
imsi-208930000014039,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2293.604
imsi-208930000014040,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2168.962
imsi-208930000014041,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,5076.778
imsi-208930000014042,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,6937.752
imsi-208930000014043,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3095.921
imsi-208930000014044,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2757.915
imsi-208930000014045,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1320.479
imsi-208930000014046,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3272.701
imsi-208930000014047,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3926.527
imsi-208930000014048,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2675.046
imsi-208930000014049,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1929.123
imsi-208930000014050,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1773.100
imsi-208930000014051,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1878.682
imsi-208930000014052,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2641.688
imsi-208930000014053,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2352.969
imsi-208930000014054,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1567.348
imsi-208930000014055,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1595.926
imsi-208930000014056,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,893.105
imsi-208930000014057,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2016.287
imsi-208930000014058,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,558.731
imsi-208930000014059,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,304.525
imsi-208930000014060,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2055.337
imsi-208930000014061,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,679.063
imsi-208930000014062,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,2399.058
imsi-208930000014063,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,835.606
