run_id,completed_ues,mean_ms,median_ms,p95_ms,p99_ms,minimum_ms,maximum_ms,sample_sd_ms
clean-dasaco-20260816-202519,100,1971.86352,1966.017,4173.228999999999,5611.731910000004,175.734,6320.068,1201.9575581963545
clean-dasaco-20260816-203351,99,2495.75901010101,2482.186,4613.728,6642.770119999995,232.591,7909.083,1405.040039656961
clean-dasaco-20260816-204156,98,2350.453173469388,1989.0015,6376.317149999999,7919.468660000001,191.778,8478.016,1805.3608969928036
