supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000006058,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2388.040
imsi-208930000006059,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5280.143
imsi-208930000006060,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5230.237
imsi-208930000006061,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1994.453
imsi-208930000006062,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3018.456
imsi-208930000006063,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5840.591
imsi-208930000006064,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3504.148
imsi-208930000006065,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5775.306
imsi-208930000006066,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3855.398
imsi-208930000006067,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2805.811
imsi-208930000006068,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3770.591
imsi-208930000006069,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1451.612
imsi-208930000006070,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5223.206
imsi-208930000006071,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,5684.023
imsi-208930000006072,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4219.313
imsi-208930000006073,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4652.308
imsi-208930000006074,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2491.028
imsi-208930000006075,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2409.974
imsi-208930000006076,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2328.815
imsi-208930000006077,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4662.688
imsi-208930000006078,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2083.213
imsi-208930000006079,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1086.946
imsi-208930000006080,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,787.389
imsi-208930000006081,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,713.447
imsi-208930000006082,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1497.797
imsi-208930000006083,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2461.719
imsi-208930000006084,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1692.277
imsi-208930000006085,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,2985.523
imsi-208930000006086,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,687.072
imsi-208930000006087,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,428.006
imsi-208930000006088,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1003.300
imsi-208930000006089,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,1309.541
imsi-208930000006090,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3388.118
imsi-208930000006091,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,793.779
imsi-208930000006092,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,740.816
imsi-208930000006093,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,3738.463
imsi-208930000006094,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,910.771
imsi-208930000006095,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,920.836
imsi-208930000006096,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,4115.292
imsi-208930000006097,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,365.659
imsi-208930000006098,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,439.967
imsi-208930000006099,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,310.528
imsi-208930000006100,free5gc-free5gc-amf-amf-b475fd8cb-pf7kf,1,1,1,1,0,433.212
