supi,amf_pod,initial_events,accept_events,complete_events,completed,retries,latency_ms
imsi-208930000013001,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,729.916
imsi-208930000013002,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1781.215
imsi-208930000013003,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,919.479
imsi-208930000013004,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,4625.719
imsi-208930000013005,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,6445.757
imsi-208930000013006,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,818.027
imsi-208930000013007,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,975.619
imsi-208930000013008,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1953.073
imsi-208930000013009,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,6053.051
imsi-208930000013010,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1205.626
imsi-208930000013011,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1729.659
imsi-208930000013012,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,4688.247
imsi-208930000013013,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1267.558
imsi-208930000013014,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,6969.756
imsi-208930000013015,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2684.328
imsi-208930000013016,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1174.390
imsi-208930000013017,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,5692.689
imsi-208930000013018,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4486.195
imsi-208930000013019,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4561.440
imsi-208930000013020,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,2406.181
imsi-208930000013021,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3729.819
imsi-208930000013022,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1425.308
imsi-208930000013023,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,3304.308
imsi-208930000013024,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,921.892
imsi-208930000013025,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2582.064
imsi-208930000013026,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2153.521
imsi-208930000013027,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2494.823
imsi-208930000013028,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2580.196
imsi-208930000013029,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,3473.576
imsi-208930000013030,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1954.111
imsi-208930000013031,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4753.581
imsi-208930000013033,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2305.626
imsi-208930000013034,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1495.932
imsi-208930000013035,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1721.601
imsi-208930000013036,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1343.121
imsi-208930000013037,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1329.988
imsi-208930000013038,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,2167.634
imsi-208930000013039,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,922.729
imsi-208930000013040,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1209.372
imsi-208930000013041,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1533.722
imsi-208930000013042,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1110.186
imsi-208930000013043,free5gc-free5gc-amf-amf-6456786c67-h27bc,1,1,1,1,0,1094.300
imsi-208930000013044,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4935.820
imsi-208930000013045,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3716.979
imsi-208930000013046,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,5673.359
imsi-208930000013047,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2162.751
imsi-208930000013048,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,4678.195
imsi-208930000013049,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2618.363
imsi-208930000013050,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3092.734
imsi-208930000013051,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3251.083
imsi-208930000013052,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3731.680
imsi-208930000013053,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,838.151
imsi-208930000013054,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2559.710
imsi-208930000013055,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3708.178
imsi-208930000013056,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2282.480
imsi-208930000013057,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,3146.050
imsi-208930000013058,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1556.796
imsi-208930000013059,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,903.421
imsi-208930000013060,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2688.794
imsi-208930000013061,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,852.928
imsi-208930000013062,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,992.711
imsi-208930000013063,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,565.654
imsi-208930000013064,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1932.987
imsi-208930000013065,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,578.851
imsi-208930000013066,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1073.511
imsi-208930000013067,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1457.737
imsi-208930000013068,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,894.274
imsi-208930000013069,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,3228.675
imsi-208930000013070,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,2174.624
imsi-208930000013071,free5gc-free5gc-amf-amf-6456786c67-r5zkw,1,1,1,1,0,1971.320
imsi-208930000013072,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,2398.006
imsi-208930000013073,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,4917.579
imsi-208930000013074,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,3000.662
imsi-208930000013075,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,3281.311
imsi-208930000013076,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,3412.863
imsi-208930000013077,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1532.921
imsi-208930000013078,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,2718.185
imsi-208930000013079,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,2392.051
imsi-208930000013080,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,2176.707
imsi-208930000013081,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1609.372
imsi-208930000013082,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1397.072
imsi-208930000013083,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,2505.890
imsi-208930000013084,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1604.305
imsi-208930000013085,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1617.868
imsi-208930000013086,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,466.154
imsi-208930000013087,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,2203.331
imsi-208930000013088,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1708.789
imsi-208930000013089,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1198.086
imsi-208930000013090,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,383.124
imsi-208930000013091,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,3978.653
imsi-208930000013092,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,564.223
imsi-208930000013093,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,403.804
imsi-208930000013094,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,732.945
imsi-208930000013095,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,824.902
imsi-208930000013096,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,591.133
imsi-208930000013097,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,843.571
imsi-208930000013098,free5gc-free5gc-amf-amf-6456786c67-89rqb,1,1,1,1,0,1794.374
